LAIL81,EVI,NDVI,DVI,SAVI,TVI,bio2
3.369970083,-0.367307007,0.287185997,1,0.43077299,0.287182003,9
4.103539944,-0.311421007,0.342676014,2,0.514003992,0.342669994,13
2.636519909,-0.250279993,0.220550999,1,0.330819994,0.220547006,11
2.322900057,-0.142501995,0.227828994,1,0.341735005,0.227824003,16
2.833110094,-0.158305004,0.237152994,1,0.35572201,0.237148002,13
0.942452013,-0.160284996,0.241116002,1,0.361665994,0.241110995,12
2.906490088,-0.179271996,0.212301001,1,0.31844601,0.212297007,8
2.765660048,-0.231998995,0.228802994,1,0.343198001,0.228799,11
2.2332201,-0.281046003,0.212219998,1,0.318324,0.212216005,12
2.782099962,-0.278254002,0.289833993,1,0.434744,0.289828986,12
3.03083992,-0.223302007,0.305979997,1,0.458961993,0.305974007,12
3.197249889,-0.159388006,0.249203995,1,0.373798013,0.249199003,8
2.710160017,-0.126681998,0.199037999,1,0.29855001,0.199033007,16
3.525700092,-0.221137002,0.309442997,1,0.464154989,0.309437007,17
2.587419987,-0.145962,0.222472996,1,0.333703011,0.222469002,13
3.348750114,-0.319130003,0.35167101,2,0.527498007,0.35166499,13
2.630810022,-0.140000999,0.190053999,1,0.285075009,0.190050006,7
2.366499901,-0.203766003,0.238098994,1,0.357142001,0.238094002,11
3.233139992,-0.244812995,0.259658992,1,0.389481008,0.259653986,13
3.398590088,-0.257064998,0.237489998,1,0.356227994,0.237486005,13
3.613859892,-0.272199005,0.26651299,1,0.399762005,0.266508013,9
4.829599857,-0.315059006,0.375573009,2,0.563350022,0.375566006,11
4.00676012,-0.237928003,0.294232011,1,0.441339999,0.294225991,12
3.749799967,-0.218758002,0.290116012,1,0.435166001,0.290111005,7
3.063139915,-0.117054999,0.207567006,1,0.311343014,0.207562,11
3.346430063,-0.213746995,0.295044988,1,0.442559004,0.295038998,12
2.457230091,-0.181211993,0.266202003,1,0.399293989,0.266196012,19
3.330919981,-0.264039993,0.365559995,2,0.548330009,0.365552992,17
3.952320099,-0.259669006,0.337247014,2,0.505859971,0.33724001,15
2.612659931,-0.149682,0.242630005,1,0.36393699,0.242624998,11
2.679019928,-0.106666997,0.162224993,1,0.243331999,0.162221,7
3.410449982,-0.172404006,0.211338997,1,0.317001998,0.211334005,10
2.278759956,-0.310065001,0.196522996,1,0.294779986,0.196520001,11
3.884229898,-0.283131003,0.256677002,1,0.385008991,0.256671995,9
4.261539936,-0.325982004,0.296068013,1,0.444094986,0.296063006,9
2.450220108,-0.155330002,0.192072004,1,0.288102001,0.192067996,10
5.258069992,-0.327904999,0.393595994,2,0.590382993,0.39358899,11
2.810270071,-0.175573006,0.250021011,1,0.375023007,0.250014991,12
3.077419996,-0.164486006,0.248157993,1,0.372229993,0.248153001,7
2.464370012,-0.114262,0.193305999,1,0.289952993,0.193302006,11
2.851360083,-0.166866004,0.257313013,1,0.385960996,0.257306993,12
2.651659966,-0.150369003,0.234309003,1,0.351457,0.234303996,19
3.173779964,-0.262894988,0.345459014,2,0.518177986,0.345452011,17
3.687360048,-0.213040993,0.29896,1,0.448430985,0.29895401,15
0.0213711,-0.081707902,0.147083998,1,0.220621005,0.147081003,11
3.819920063,-0.219405994,0.283847004,1,0.425763011,0.283841997,7
3.128730059,-0.230691001,0.291428,1,0.437133998,0.291422009,10
3.392149925,-0.270213991,0.268806994,1,0.403203994,0.268803,11
3.042649984,-0.272192001,0.277144015,1,0.415708989,0.277139008,9
3.115210056,-0.259373993,0.262006998,1,0.393004,0.262003005,9
3.275429964,-0.239059001,0.314116001,1,0.471166015,0.314110011,9
3.504640102,-0.211923003,0.280072004,1,0.42009899,0.280066013,12
2.883140087,-0.144034997,0.236662,1,0.354984999,0.236656994,11
2.483370066,-0.130114004,0.219482005,1,0.32921499,0.219476998,20
4.047890186,-0.193177,0.283924997,1,0.425879002,0.28391999,15
2.905989885,-0.231369004,0.319860011,1,0.479781002,0.319853991,13
0.817187011,-0.095272899,0.176721007,1,0.265074998,0.176716998,13
3.099060059,-0.149596006,0.246873006,1,0.370301008,0.246867999,10
3.442850113,-0.253733993,0.258435994,1,0.387647003,0.258430988,11
2.718760014,-0.236015007,0.253033996,1,0.379543006,0.253028989,10
4.142960072,-0.139302999,0.192594007,1,0.288884997,0.192589998,10
1.959890008,-0.162003994,0.238576993,1,0.357856989,0.238572001,17
5.186979771,-0.341302007,0.412916005,2,0.61936301,0.412909001,11
2.181790113,-0.102852002,0.192276999,1,0.288408011,0.192271993,11
3.165090084,-0.155789003,0.239972994,1,0.359952003,0.239968002,13
2.732980013,-0.132128,0.213266999,1,0.319893003,0.213262007,12
2.938990116,-0.144560993,0.229571998,1,0.34435001,0.229567006,19
2.891530037,-0.248912007,0.321657985,1,0.482477993,0.321651995,10
2.514349937,-0.130814999,0.218355,1,0.327526003,0.218349993,12
2.540810108,-0.102890998,0.188249007,1,0.282366991,0.188244998,14
1.874930024,-0.115759,0.188842997,1,0.283257991,0.188839003,12
3.696650028,-0.185611993,0.286170989,1,0.429248005,0.286164999,12
3.286530018,-0.31023699,0.305444986,1,0.458160013,0.305440009,13
2.673130035,-0.104395002,0.183571994,1,0.275350988,0.183567002,14
3.851340055,-0.358502001,0.424470007,2,0.636693001,0.424461991,22
0.477921009,-0.124690004,0.133693993,1,0.200536996,0.133690998,9
1.406229973,-0.235600993,0.186010003,1,0.279009998,0.186006993,10
3.436889887,-0.253226012,0.347065002,2,0.520587981,0.347057998,11
2.358129978,-0.118317001,0.205785006,1,0.308670014,0.205779999,10
2.282360077,-0.121811002,0.208299994,1,0.312442005,0.208295003,14
2.83920002,-0.138661996,0.219464004,1,0.329187989,0.219458997,12
3.659169912,-0.173273996,0.259083986,1,0.388617992,0.259079009,15
4.077569962,-0.195331007,0.272873014,1,0.409301996,0.272868007,10
1.844670057,-0.106349997,0.194729999,1,0.292088002,0.194725007,13
3.140710115,-0.090252303,0.181125,1,0.271679997,0.181119993,15
4.924230099,-0.287817001,0.359517008,2,0.53926599,0.359510005,13
4.201369762,-0.270108998,0.364721,2,0.547070026,0.364713013,15
3.969369888,-0.315786004,0.376401007,2,0.564590991,0.376394004,16
2.412640095,-0.111451998,0.197549,1,0.296317011,0.197545007,18
4.200049877,-0.239811003,0.33387199,2,0.500797987,0.333866,14
3.647660017,-0.177943006,0.280277997,1,0.42040801,0.280272007,17
1.837579966,-0.197693005,0.225215003,1,0.337816,0.225210994,14
1.468799949,-0.158651993,0.176027,1,0.264036,0.176024005,14
1.896530032,-0.251735985,0.189315006,1,0.283966988,0.189311996,11
2.390429974,-0.211922005,0.301744014,1,0.452607006,0.301737994,15
3.5448699,-0.201507002,0.266629994,1,0.399937987,0.266624987,10
2.566109896,-0.127123997,0.216235995,1,0.324346006,0.216231003,8
2.955379963,-0.146334007,0.236064002,1,0.354088008,0.236058995,12
3.49887991,-0.178525999,0.265165001,1,0.397738993,0.265159011,11
3.43565011,-0.197907001,0.279632002,1,0.419438988,0.279626012,11
2.80170989,-0.161422998,0.250256985,1,0.375378013,0.250252008,12
1.797070026,-0.111438997,0.203832999,1,0.305741996,0.203828007,12
3.166870117,-0.140302002,0.237895995,1,0.356835991,0.237891003,16
3.172219992,-0.148332998,0.230903998,1,0.346347988,0.230899006,11
3.270580053,-0.299468994,0.342691988,2,0.514028013,0.342685014,14
2.191859961,-0.103276998,0.175175995,1,0.262757987,0.175172001,15
3.481849909,-0.148932993,0.235258996,1,0.352880001,0.235254005,14
5.542200089,-0.345571011,0.432806998,2,0.649199009,0.432799011,13
3.503149986,-0.290607989,0.334834009,2,0.502241015,0.334827989,15
1.827849984,-0.221791998,0.259743005,1,0.389607012,0.259737998,11
1.23210001,-0.149112999,0.182484999,1,0.273721993,0.182482004,13
3.784130096,-0.265740007,0.323269993,1,0.484896004,0.323264003,14
1.847460032,-0.198791996,0.201815993,1,0.302718997,0.201812997,10
