"","bio2","predicted","residuals"
"1",9,8.60450479394708,0.395495206052924
"2",13,9.20161516255111,3.79838483744889
"3",11,8.64279428760737,2.35720571239263
"4",16,12.3971708643665,3.60282913563347
"5",13,11.4381168318509,1.56188316814912
"6",12,13.6812905964681,-1.68129059646812
"7",8,9.08481646185248,-1.08481646185248
"8",11,8.73137592353978,2.26862407646022
"9",12,8.60974026118248,3.39025973881752
"10",12,8.9822227086105,3.0177772913895
"11",12,12.3268735207987,-0.32687352079871
"12",8,11.9288591450968,-3.92885914509685
"13",16,10.6966000643814,5.30339993561863
"14",17,12.1740639306303,4.82593606936966
"15",13,11.3867641827327,1.61323581726728
"16",13,9.69858124868396,3.30141875131604
"17",7,9.57563790632872,-2.57563790632872
"18",11,9.47663490188364,1.52336509811636
"19",13,8.85491102625199,4.14508897374801
"20",13,8.64312370235818,4.35687629764182
"21",9,8.6840877456204,0.315912254379596
"22",11,10.0094956601557,0.990504339844309
"23",12,9.61642380515744,2.38357619484256
"24",7,10.5296617194614,-3.52966171946135
"25",11,11.6212838310688,-0.621283831068816
"26",12,11.7116546138171,0.288345386182883
"27",19,12.6764210201646,6.32357897983542
"28",17,13.9747493915966,3.02525060840342
"29",15,11.5710900708061,3.42890992919387
"30",11,12.7560517980284,-1.75605179802836
"31",7,9.56915075093379,-2.56915075093379
"32",10,9.03197422731633,0.968025772683665
"33",11,8.60115339408816,2.39884660591184
"34",9,8.62574533314095,0.374254666859049
"35",9,8.62258783515998,0.377412164840017
"36",10,9.26647483957281,0.73352516042719
"37",11,10.0612826853016,0.938717314698438
"38",12,11.3146833768067,0.685316623193334
"39",7,11.6222352462574,-4.62223524625738
"40",11,11.3534449490847,-0.353444949084711
"41",12,12.4871321255488,-0.487132125548808
"42",19,11.9849261375227,7.01507386247732
"43",17,12.9323600838041,4.06763991619592
"44",15,11.6771357119747,3.32286428802525
"45",11,12.7379439725569,-1.73794397255692
"46",7,10.0280193512418,-3.02801935124182
"47",10,10.5388656067131,-0.53886560671312
"48",11,8.72126059445379,2.27873940554621
"49",9,8.81877407471455,0.181225925285448
"50",9,8.76787729565104,0.232122704348956
"51",9,11.5904092265944,-2.59040922659437
"52",12,10.4820739662266,1.5179260337734
"53",11,12.3506063719867,-1.35060637198673
"54",20,12.3872497563085,7.61275024369145
"55",15,11.399416890464,3.60058310953602
"56",13,13.0168185276774,-0.0168185276773656
"57",13,13.2228834391503,-0.222883439150269
"58",10,12.5418993652659,-2.54189936526587
"59",11,8.74063431409911,2.25936568590089
"60",10,8.98351015682517,1.01648984317483
"61",10,9.0084712946134,0.991528705386598
"62",17,12.3476030839942,4.65239691600584
"63",11,10.6497779609056,0.35022203909438
"64",11,12.4165780742602,-1.41657807426016
"65",13,11.4516435184551,1.54835648154495
"66",12,11.425149765423,0.574850234577003
"67",19,11.6535868395023,7.34641316049766
"68",10,11.9850390693868,-1.98503906938681
"69",12,12.2083312813211,-0.208331281321108
"70",14,11.6453800777497,2.35461992225027
"71",12,11.583914068659,0.416085931341025
"72",12,12.5422276233842,-0.54222762338421
"73",13,8.74922825172809,4.25077174827191
"74",14,11.0036502828925,2.99634971710754
"75",22,11.9531805531207,10.0468194468793
"76",9,9.15798926316372,-0.157989263163717
"77",10,8.63436515203561,1.36563484796439
"78",11,13.3575188401646,-2.35751884016461
"79",10,12.2353573280481,-2.23535732804813
"80",14,12.2879304295725,1.71206957042745
"81",12,11.3510328935586,0.648967106441363
"82",15,11.2131225121031,3.78687748789694
"83",10,10.3896943906081,-0.389694390608128
"84",13,12.7625895114644,0.237410488535598
"85",15,11.2295242847636,3.77047571523637
"86",13,10.3661117744492,2.63388822555078
"87",15,12.8012066421695,2.19879335783047
